"var1","var2","Ncases","Nweight","cor","cor_SE","t","df","p","cor_fmi","cor_VarMI","cor_VarRep","ulke"
"ESCS","ANXMAT",6224,410118.436780006,-0.0970756627725784,0.060776897004582,-1.6,Inf,0.109598583399116,0,0,0.00369383120950557,"KOR"
"ESCS","FAMSUP",6224,410118.436780006,0.222975344364257,0.0600977377652694,3.71,Inf,0.000207259247348062,0,0,0.00361173808450308,"KOR"
"ANXMAT","FAMSUP",6224,410118.436780006,-0.0419571487978656,0.0714258522437351,-0.59,Inf,0.55519064950693,0,0,0.00510165236874388,"KOR"
"BULLIED","BELONG",7575,45889.93823,-0.337809006906876,0.0347899165729103,-9.71,Inf,2.73337115640686e-22,0,0,0.00121033829515006,"FIN"
"BULLIED","FEELSAFE",7575,45889.93823,-0.221138133866923,0.0515977572903788,-4.29,Inf,1.7867311825654e-05,0,0,0.00266232855739684,"FIN"
"BULLIED","CREATEFF",7575,45889.93823,0.00363500666450625,0.0434815770843711,0.08,Inf,0.936237255972025,0,0,0.00189064754574411,"FIN"
"BULLIED","ESCS",7575,45889.93823,0.00473761542327318,0.0446166301265167,0.11,Inf,0.912409374915366,0,0,0.0019906436838464,"FIN"
"BULLIED","ANXMAT",7575,45889.93823,0.138532972932266,0.0429533973246195,3.23,Inf,0.00123790218077367,0,0,0.00184499434172663,"FIN"
"BULLIED","FAMSUP",7575,45889.93823,-0.073114890809547,0.0452541229738225,-1.62,Inf,0.105232276908504,0,0,0.00204793564612985,"FIN"
"BELONG","FEELSAFE",7575,45889.93823,0.384464149833705,0.0391330261949389,9.82,Inf,9.23435459709139e-23,0,0,0.00153139373917378,"FIN"
"BELONG","CREATEFF",7575,45889.93823,0.138335304369273,0.0532362534133147,2.6,Inf,0.0093223760474375,0,0,0.00283409867748666,"FIN"
"BELONG","ESCS",7575,45889.93823,0.082953034706947,0.0352978267485305,2.35,Inf,0.0187734110696771,0,0,0.00124593657316927,"FIN"
"BELONG","ANXMAT",7575,45889.93823,-0.228973341941359,0.0456205049135514,-5.02,Inf,5.16714795279947e-07,0,0,0.00208123046856736,"FIN"
"BELONG","FAMSUP",7575,45889.93823,0.168564746837348,0.0452100401225521,3.73,Inf,0.000191479770537829,0,0,0.00204394772788277,"FIN"
"FEELSAFE","CREATEFF",7575,45889.93823,0.073490631714383,0.0452431065435688,1.62,Inf,0.105232276908504,0,0,0.00204693868971272,"FIN"
"FEELSAFE","ESCS",7575,45889.93823,0.0959894130591694,0.0450025230605617,2.13,Inf,0.03317161336721,0,0,0.00202522708181639,"FIN"
"FEELSAFE","ANXMAT",7575,45889.93823,-0.201664225194106,0.0359265707888562,-5.61,Inf,2.02326615110828e-08,0,0,0.00129071848864669,"FIN"
"FEELSAFE","FAMSUP",7575,45889.93823,0.0850384682738175,0.0391862921704118,2.17,Inf,0.0300068459474644,0,0,0.00153556549406488,"FIN"
"CREATEFF","ESCS",7575,45889.93823,0.146780454317445,0.0419369708836585,3.5,Inf,0.00046525815807105,0,0,0.00175870952689682,"FIN"
"CREATEFF","ANXMAT",7575,45889.93823,-0.0882012358941282,0.052593611557283,-1.68,Inf,0.0929573157274401,0,0,0.00276608797663838,"FIN"
"CREATEFF","FAMSUP",7575,45889.93823,0.178075098316596,0.0477643742463481,3.73,Inf,0.000191479770537829,0,0,0.0022814354471452,"FIN"
"ESCS","ANXMAT",7575,45889.93823,-0.107427081889764,0.0380427726585894,-2.82,Inf,0.00480236494837851,0,0,0.00144725255155312,"FIN"
"ESCS","FAMSUP",7575,45889.93823,0.122651846718539,0.0393228121028466,3.12,Inf,0.00180851039964468,0,0,0.00154628355167578,"FIN"
"ANXMAT","FAMSUP",7575,45889.93823,-0.0628897870661393,0.0457731455517486,-1.37,Inf,0.170686901643934,0,0,0.00209518085370157,"FIN"
"BULLIED","BELONG",4953,1085913.73939999,-0.220700385261191,0.0471234681745167,-4.68,Inf,2.86874916884027e-06,0,0,0.00222062125279469,"MEX"
"BULLIED","FEELSAFE",4953,1085913.73939999,-0.13693368351183,0.0482213376008746,-2.84,Inf,0.00451135338308465,0,0,0.00232529740001752,"MEX"
"BULLIED","CREATEFF",4953,1085913.73939999,-0.0400537581806133,0.0496663925108098,-0.81,Inf,0.417940175743203,0,0,0.00246675054503782,"MEX"
"BULLIED","ESCS",4953,1085913.73939999,-0.0109190264813918,0.0534579237540825,-0.2,Inf,0.841480581121794,0,0,0.0028577496120973,"MEX"
"BULLIED","ANXMAT",4953,1085913.73939999,0.0988022436540418,0.0403010752259819,2.45,Inf,0.0142856214705428,0,0,0.00162417666437025,"MEX"
"BULLIED","FAMSUP",4953,1085913.73939999,-0.138322690024694,0.0462673741971172,-2.99,Inf,0.0027897744709845,0,0,0.00214066991509607,"MEX"
"BELONG","FEELSAFE",4953,1085913.73939999,0.311126093105617,0.051184614814445,6.08,Inf,1.20182547629769e-09,0,0,0.0026198647937031,"MEX"
"BELONG","CREATEFF",4953,1085913.73939999,0.153862551778037,0.0571331606355642,2.69,Inf,0.00714520190479948,0,0,0.00326419804420918,"MEX"
"BELONG","ESCS",4953,1085913.73939999,0.0839451792261842,0.0472265138964115,1.78,Inf,0.0750759606970336,0,0,0.00223034361480795,"MEX"
"BELONG","ANXMAT",4953,1085913.73939999,-0.087790986245845,0.0506745541046395,-1.73,Inf,0.0836302752271899,0,0,0.00256791043370403,"MEX"
"BELONG","FAMSUP",4953,1085913.73939999,0.160431770117109,0.0532790052912792,3.01,Inf,0.00261247689753894,0,0,0.00283865240482816,"MEX"
"FEELSAFE","CREATEFF",4953,1085913.73939999,0.0925328342435878,0.051877791369083,1.78,Inf,0.0750759606970336,0,0,0.0026913052373341,"MEX"
"FEELSAFE","ESCS",4953,1085913.73939999,0.071416525671472,0.062550974655683,1.14,Inf,0.254286301125597,0,0,0.0039126244303759,"MEX"
"FEELSAFE","ANXMAT",4953,1085913.73939999,-0.101918060761592,0.0523310564917118,-1.95,Inf,0.0511761190432773,0,0,0.00273853947353873,"MEX"
"FEELSAFE","FAMSUP",4953,1085913.73939999,0.126116476867444,0.0461006708817895,2.74,Inf,0.00614391843730098,0,0,0.00212527185575107,"MEX"
"CREATEFF","ESCS",4953,1085913.73939999,0.117485587190111,0.0495142457084034,2.37,Inf,0.0177880852606736,0,0,0.00245166052807215,"MEX"
"CREATEFF","ANXMAT",4953,1085913.73939999,-0.0750515258772133,0.0504971305937615,-1.49,Inf,0.136224235933451,0,0,0.0025499601982034,"MEX"
"CREATEFF","FAMSUP",4953,1085913.73939999,0.244626787989255,0.0480533424547565,5.09,Inf,3.58063514499668e-07,0,0,0.0023091237210741,"MEX"
"ESCS","ANXMAT",4953,1085913.73939999,-0.03413371296055,0.0520045708227566,-0.66,Inf,0.509253829342672,0,0,0.00270447538645911,"MEX"
"ESCS","FAMSUP",4953,1085913.73939999,0.0650405120403532,0.0436752435823518,1.49,Inf,0.136224235933451,0,0,0.00190752690197777,"MEX"
"ANXMAT","FAMSUP",4953,1085913.73939999,-0.0599607996021278,0.0445782020849279,-1.35,Inf,0.177015982874804,0,0,0.00198721610112467,"MEX"
